,address,lat,lng,parsedAddress,parsedlat,parsedlng,level,coord_diff,correct
184,葵涌葵涌邨商場1樓102號舖對出自動扶手電梯下,22.36726362,114.1283262,"[('StreetName1', '葵涌'), ['?', '葵涌邨'], ('BuildingName', '商場')]",22.3649,114.1383,street,0.010250043216706462,N
185,馬鞍山西沙路608號馬鞍山廣場三樓318-322號,22.42515177,114.2319936,"[('StreetName1', '馬鞍山'), ('StreetName2', '西沙路'), ('BuildingNoFrom', '608'), ['?', '號'], ('BuildingName', '馬鞍山廣場'), ['?', '三樓318-322號']]",22.4252,114.2318,streetNo,0.0001995171493774543,Y
186,馬鞍山頌安邨商場地下保安櫃位側,22.42222359,114.2265889,"[('StreetName1', '馬鞍山'), ('EstateName1', '頌安邨'), ['?', '商場']]",22.4218,114.2269,street,0.000525558463068865,Y
187,西貢清水灣香港科技大學廣場入口地下,22.33732435,114.2632896,"[['?', '西貢'], ('StreetName1', '清水灣'), ['?', '香港科技大學廣場入口']]",22.3328,114.2625,street,0.004592734597436398,N
188,沙田廣場地下4號,22.38282925,114.1891885,"[('EstateName1', '沙田廣場')]",22.3836,114.1892,building,0.0007708357882853002,Y
189,沙田中文大學范克廉樓地下,22.4184032,114.2051955,"[('StreetName1', '沙田'), ['?', '中文大學范克廉樓']]",22.4212,114.2046,street,0.0028594947962876584,N
190,沙田禾輋邨禾輋商場近56號舖,22.38744029,114.19563889999999,"[('StreetName1', '沙田'), ('EstateName1', '禾輋邨'), ['?', '禾輋商場近']]",22.3863,114.1934,street,0.0025125553713463197,N
191,沙田大圍美田邨美田商場1樓104號舖對面,22.376279,114.170575,"[['?', '沙田大圍'], ('EstateName1', '美田邨'), ('BuildingName', '美田商場')]",22.3758,114.1711,building,0.0007106799560945431,Y
192,上水彩園路8號彩園廣場3樓櫃員機4,22.50074224,114.1262341,"[('StreetName1', '上水'), ('StreetName2', '彩園路'), ('BuildingNoFrom', '8'), ['?', '號'], ('BuildingName', '彩園廣場')]",22.5015,114.1258,streetNo,0.0008732943533565516,Y
193,大埔墟寶鄉街62至66號地下,22.44775441,114.1662472,"[('StreetName1', '大埔'), ['?', '墟'], ('StreetName2', '寶鄉街'), ('BuildingNoFrom', '62'), ['?', '至'], ('BuildingNoTo', '66'), ['?', '號']]",22.4477,114.1664,streetNo,0.00016219829869193987,Y
194,香港教育學院中央大樓平台C-P-12室,22.46688828,114.1937828,"[('EstateName1', '香港教育學院'), ['?', '中央大樓']]",22.4674,114.1933,building,0.0007035291027403149,Y
195,大埔露屏路10號香港教育學院C2019室,22.4672799,114.19384720000001,"[('StreetName1', '大埔'), ('StreetName2', '露屏路'), ('BuildingNoFrom', '10'), ['?', '號'], ('EstateName1', '香港教育學院'), ['?', 'C2019室']]",22.4695,114.1945,streetNo,0.0023140855321252744,N
196,大埔廣福邨廣福商場平台近K1號舖,22.448545199999998,114.1742778,"[('StreetName1', '大埔'), ('EstateName1', '廣福邨'), ['?', '廣福'], ('BlockDescriptor', '商場')]",22.4487,114.1742,street,0.0001732509163039557,Y
197,大埔太和邨太和商場S229E商舖,22.45107371,114.16151049999999,"[('StreetName1', '大埔'), ('EstateName1', '太和邨'), ['?', '太和商場S229E商舖']]",22.4505,114.1604,street,0.0012499413642599114,N
198,大圍道16至18號祥豐大樓地下,22.37574884,114.1774321,"[('StreetName3', '大圍道'), ('BuildingNoFrom', '16'), ['?', '至18號'], ('BuildingName', '祥豐大樓')]",22.3758,114.1775,streetNo,8.501620786000334e-05,Y
